t,X,Y,Z
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.000000000000000021e-02
1.000000000000000021e-02,9.512121346042708148e-02,1.003531993455065940e+00,1.021586226234275953e-02
2.000000000000000042e-02,1.827710900314468145e-01,1.032400902829073486e+00,1.134904671069320546e-02
2.999999999999999889e-02,2.659727971503672572e-01,1.084703829676758158e+00,1.339837975488310066e-02
4.000000000000000083e-02,3.473202533425507887e-01,1.159333745143099170e+00,1.644355847207396720e-02
5.000000000000000278e-02,4.290890458718743528e-01,1.255867561980438918e+00,2.063791523890325108e-02
5.999999999999999778e-02,5.133275738241452890e-01,1.374482844247594704e+00,2.620968618534098848e-02
7.000000000000000666e-02,6.019327616285806704e-01,1.515897930557522644e+00,3.347022508508402938e-02
8.000000000000000167e-02,6.967138295960322303e-01,1.681331285269667575e+00,4.282858086624749538e-02
8.999999999999999667e-02,7.994469187635732110e-01,1.872476699842040126e+00,5.481257872389298097e-02
1.000000000000000056e-01,9.119228103605780955e-01,2.091491567788673400e+00,7.009712931755218701e-02
1.100000000000000006e-01,1.035989524102660431e+00,2.340995866147430604e+00,8.954101673797548733e-02
1.199999999999999956e-01,1.173591196673615666e+00,2.624079696961355346e+00,1.142339384532285729e-01
1.300000000000000044e-01,1.326804306798631483e+00,2.944317262557903270e+00,1.455561278456722896e-01
1.400000000000000133e-01,1.497872001380505580e+00,3.305784939488255691e+00,1.852535087389817758e-01
1.499999999999999944e-01,1.689236962012471865e+00,3.713080627414650170e+00,2.355320263639898437e-01
1.600000000000000033e-01,1.903572902982906268e+00,4.171340703521344118e+00,2.991755703838888114e-01
1.700000000000000122e-01,2.143814374718170601e+00,4.686249598800530158e+00,3.796927296228490012e-01
1.799999999999999933e-01,2.413184015405916316e+00,5.264035076755057219e+00,4.814984339104930733e-01
1.900000000000000022e-01,2.715215690632588608e+00,5.911439535438563375e+00,6.101372227599042297e-01
2.000000000000000111e-01,3.053771012260223294e+00,6.635653814903070824e+00,7.725552100169182923e-01
2.099999999999999922e-01,3.433045439787365982e+00,7.444194771078749717e+00,9.774274068872809140e-01
2.200000000000000011e-01,3.857558425161879967e+00,8.344700950562467412e+00,1.235545300054402773e+00
2.300000000000000100e-01,4.332119732273524981e+00,9.344611795091712025e+00,1.560265477238747422e+00
2.399999999999999911e-01,4.861761006576068134e+00,1.045068484425726751e+01,1.968012166168828792e+00
2.500000000000000000e-01,5.451617776234375157e+00,1.166829279696428578e+01,2.478812656130964243e+00
2.600000000000000089e-01,6.106742313434294189e+00,1.300042942553506187e+01,3.116821768952057869e+00
2.700000000000000178e-01,6.831822365826795362e+00,1.444634340071855583e+01,3.910756164671202573e+00
2.800000000000000266e-01,7.630775296273455410e+00,1.599971829147272473e+01,4.894107376064648740e+00
2.899999999999999800e-01,8.506182999332040140e+00,1.764633617458515147e+01,6.104931269922443171e+00
2.999999999999999889e-01,9.458532641880644576e+00,1.936121846341589858e+01,7.584922504593365034e+00
3.099999999999999978e-01,1.048523605895981170e+01,2.110535447934336162e+01,9.377386609396932471e+00
3.200000000000000067e-01,1.157942285847767927e+01,2.282233329422147605e+01,1.152364906900940866e+01
3.300000000000000155e-01,1.272854706312009121e+01,2.443550749664253630e+01,1.405744870483653131e+01
3.400000000000000244e-01,1.391292242333814144e+01,2.584672727298200456e+01,1.699704586622509339e+01
3.500000000000000333e-01,1.510441039497506743e+01,2.693810632477348577e+01,2.033525389192551103e+01
3.599999999999999867e-01,1.626561660485590366e+01,2.757851640202360954e+01,2.402846995530173047e+01
3.699999999999999956e-01,1.735007105866338506e+01,2.763621994488549660e+01,2.798700054917316038e+01
3.800000000000000044e-01,1.830390693871886754e+01,2.699785907064194390e+01,3.207022346300305315e+01
3.900000000000000133e-01,1.906942279209829394e+01,2.559175504980455784e+01,3.609069616136051906e+01
4.000000000000000222e-01,1.959054221241979477e+01,2.341057380322611436e+01,3.983028074404438001e+01
4.100000000000000311e-01,1.981959268400232332e+01,2.052617654152443905e+01,4.306813450001513388e+01
4.199999999999999845e-01,1.972418187982972881e+01,1.708969113329067468e+01,4.561561850790379680e+01
4.299999999999999933e-01,1.929255813251137042e+01,1.331360379065306532e+01,4.734894444644243805e+01
4.400000000000000022e-01,1.853598869544733319e+01,9.439036705870163857e+00,4.822945909115667718e+01
4.500000000000000111e-01,1.748743353686955615e+01,5.697265741269522010e+00,4.830519321643821939e+01
4.600000000000000200e-01,1.619686066647391343e+01,2.276590483277866284e+00,4.769413924520586079e+01
4.700000000000000289e-01,1.472446825066555931e+01,-6.972155735586755831e-01,4.655602960479630070e+01
4.799999999999999822e-01,1.313346734942173732e+01,-3.164524581172369899e+00,4.506202452543764991e+01
4.899999999999999911e-01,1.148386464472058321e+01,-5.122696927780004295e+00,4.337012052761534164e+01
5.000000000000000000e-01,9.828088515316803608e+00,-6.610073633291776218e+00,4.161010312734457273e+01
5.100000000000000089e-01,8.208647699068698955e+00,-7.688845670473987148e+00,3.987794823647918463e+01
5.200000000000000178e-01,6.657534869803188649e+00,-8.430589789957920743e+00,3.823722054659585012e+01
5.300000000000000266e-01,5.196863678503709671e+00,-8.906039200380050147e+00,3.672439586721250748e+01
5.400000000000000355e-01,3.840212064879380272e+00,-9.179030466653362197e+00,3.535554055691962105e+01
5.500000000000000444e-01,2.594246104361430660e+00,-9.303744750066394786e+00,3.413269520931415002e+01
5.600000000000000533e-01,1.460336610572382066e+00,-9.324160845462392544e+00,3.304915544023651819e+01
5.700000000000000622e-01,4.360060244085024461e-01,-9.274778400021745028e+00,3.209342998331349861e+01
5.799999999999999600e-01,-4.838640258742646916e-01,-9.181929272146827969e+00,3.125198083024160667e+01
5.899999999999999689e-01,-1.306075080410426192e+00,-9.065246716988779596e+00,3.051098303132206269e+01
5.999999999999999778e-01,-2.038382638014610393e+00,-8.939055850792808400e+00,2.985736198216446979e+01
6.099999999999999867e-01,-2.688960164535915354e+00,-8.813578204008885919e+00,2.927933302838554042e+01
6.199999999999999956e-01,-3.266018325553143864e+00,-8.695920054858872206e+00,2.876661821370761274e+01
6.300000000000000044e-01,-3.777544364927142073e+00,-8.590854597596894848e+00,2.831046630950242360e+01
6.400000000000000133e-01,-4.231131834832546623e+00,-8.501425615426258631e+00,2.790356214409384705e+01
6.500000000000000222e-01,-4.633876656144148676e+00,-8.429405117078720977e+00,2.753988110959065239e+01
6.600000000000000311e-01,-4.992320816822712004e+00,-8.375635744095768942e+00,2.721452342332709762e+01
6.700000000000000400e-01,-5.312429528642400811e+00,-8.340284423850061302e+00,2.692354834043415224e+01
6.800000000000000488e-01,-5.599591290766932516e+00,-8.323028759642747687e+00,2.666381917211925057e+01
6.900000000000000577e-01,-5.858633128043392979e+00,-8.323192990884114906e+00,2.643286411640189826e+01
7.000000000000000666e-01,-6.093845412406251327e+00,-8.339846408306110348e+00,2.622875439700476363e+01
7.099999999999999645e-01,-6.309012275087921395e+00,-8.371873948766300089e+00,2.604999921206504965e+01
7.199999999999999734e-01,-6.507444799446059136e+00,-8.418026256533504892e+00,2.589545595868755612e+01
