t,X,Y,Z
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000021e-02,9.512136887442708411e-02,1.003536737149200997e+00,4.790063015099315247e-04
2.000000000000000042e-02,1.827722660530023968e-01,1.032419075429026778e+00,1.868430359483277698e-03
2.999999999999999889e-02,2.659765623684695601e-01,1.084743365925848524e+00,4.167327179497203743e-03
4.000000000000000083e-02,3.473287664954690102e-01,1.159402330284571070e+00,7.455644089006506145e-03
5.000000000000000278e-02,4.291049963572927117e-01,1.255973041101312138e+00,1.188698821921779780e-02
5.999999999999999778e-02,5.133541635782730150e-01,1.374633568663321093e+00,1.768990236374762270e-02
7.000000000000000666e-02,6.019737195587395728e-01,1.516103063286054820e+00,2.517609039482282887e-02
8.000000000000000167e-02,6.967734524344800784e-01,1.681601082622702359e+00,3.475501069989264669e-02
8.999999999999999667e-02,7.995301342200697992e-01,1.872822782309411016e+00,4.695497843654555803e-02
1.000000000000000056e-01,9.120352599452405951e-01,2.091927190356329014e+00,6.245150237820411288e-02
1.100000000000000006e-01,1.036137664080625242e+00,2.341536195663117326e+00,8.210410880360134722e-02
1.199999999999999956e-01,1.173782416371825565e+00,2.624742101856075926e+00,1.070034279416848394e-01
1.300000000000000044e-01,1.327047063950875572e+00,2.945121617845547934e+00,1.385308765022782718e-01
1.400000000000000133e-01,1.498175974373836983e+00,3.306753947157196283e+00,1.784338893301562201e-01
1.499999999999999944e-01,1.689613218753798218e+00,3.714240148668211727e+00,2.289203490930800389e-01
1.600000000000000033e-01,1.904034085563155676e+00,4.172720094264104951e+00,2.927766349871104290e-01
1.700000000000000122e-01,2.144374897983063022e+00,4.687882032561660139e+00,3.735145363727112033e-01
1.799999999999999933e-01,2.413860275746908535e+00,5.265957828887529502e+00,4.755530937844113515e-01
1.900000000000000022e-01,2.716026278497045698e+00,5.913694187596715501e+00,6.044421143928088158e-01
2.000000000000000111e-01,3.054736917635477056e+00,6.638286317732326580e+00,7.671344378180006141e-01
2.099999999999999922e-01,3.434190233679156989e+00,7.447255273550556609e+00,9.723136190906530585e-01
2.200000000000000011e-01,3.858908391127562787e+00,8.348243263859766117e+00,1.230781924359358737e+00
2.300000000000000100e-01,4.333703909461831927e+00,9.348692304679131482e+00,1.555909419831863261e+00
2.399999999999999911e-01,4.863611088395108695e+00,1.045536061362494351e+01,1.964136988922728255e+00
2.500000000000000000e-01,5.453767785628603093e+00,1.167361852047070769e+01,2.475512183866591887e+00
2.600000000000000089e-01,6.109227946018397581e+00,1.300645279068185722e+01,3.114213965436797071e+00
2.700000000000000178e-01,6.834679855986035335e+00,1.445309832682365148e+01,3.908986927994956950e+00
2.800000000000000266e-01,7.634039621147706178e+00,1.600721545446517169e+01,4.893353612374842676e+00
2.899999999999999800e-01,8.509885197847397720e+00,1.765455026738162303e+01,6.105402183178517461e+00
2.999999999999999889e-01,9.462696004218177137e+00,1.937007187945480524e+01,7.586857483034968652e+00
3.099999999999999978e-01,1.048987096025225441e+01,2.111469769215996095e+01,9.381047444651560596e+00
3.200000000000000067e-01,1.158452010704928803e+01,2.283192332101874911e+01,1.152930366795718342e+01
3.300000000000000155e-01,1.273406985936542313e+01,2.444498763303788280e+01,1.406534328375104970e+01
3.400000000000000244e-01,1.391879743445412565e+01,2.585561374889172725e+01,1.700736341887488479e+01
3.500000000000000333e-01,1.511051907188198307e+01,2.694579021046857292e+01,2.034805924441427294e+01
3.599999999999999867e-01,1.627178865120008311e+01,2.758429081935682703e+01,2.404364658635550711e+01
3.699999999999999956e-01,1.735608271068713293e+01,2.763934141902830532e+01,2.800419140138426854e+01
